ASSERTION	AAEDAAEBAwAAAAAAAECPQA==
ASSERTION	AAIDAAEBAwAAAAAAAECPQA==
ASSERTION	AAMAAQpCb29rRmxpZ2h0AwABAQMAAAAAAABAj0A=
ASSERTION	AAECAAMFAAAAAAAAAFlA
ASSERTION	AAECAAIFAAAAAAAAAAAA
RUN	MyTestPackage.APITest	apitest	1577745742502	 	3.3.1
USER	accessToken	3	START	1577745744091	1577745744091
USER	accessToken	4	START	1577745744091	1577745744091
USER	accessToken	1	START	1577745744090	1577745744090
USER	accessToken	15	START	1577745744144	1577745744144
USER	accessToken	13	START	1577745744144	1577745744144
USER	accessToken	16	START	1577745744145	1577745744145
USER	accessToken	7	START	1577745744091	1577745744091
USER	accessToken	2	START	1577745744091	1577745744091
USER	accessToken	17	START	1577745744147	1577745744147
USER	accessToken	18	START	1577745744147	1577745744147
USER	accessToken	14	START	1577745744144	1577745744144
USER	accessToken	19	START	1577745744148	1577745744148
USER	accessToken	20	START	1577745744148	1577745744148
USER	accessToken	8	START	1577745744092	1577745744092
USER	accessToken	11	START	1577745744092	1577745744092
USER	accessToken	9	START	1577745744092	1577745744092
USER	accessToken	5	START	1577745744091	1577745744091
USER	accessToken	6	START	1577745744091	1577745744091
USER	accessToken	12	START	1577745744096	1577745744096
USER	accessToken	10	START	1577745744092	1577745744092
REQUEST	7		GenAccToken	1577745744140	1577745745014	OK	 
REQUEST	5		GenAccToken	1577745744139	1577745745119	OK	 
REQUEST	8		GenAccToken	1577745744140	1577745745014	OK	 
REQUEST	6		GenAccToken	1577745744139	1577745745014	OK	 
REQUEST	1		GenAccToken	1577745744140	1577745745086	OK	 
REQUEST	18		GenAccToken	1577745744148	1577745745122	OK	 
REQUEST	19		GenAccToken	1577745744148	1577745745064	OK	 
REQUEST	16		GenAccToken	1577745744146	1577745745143	OK	 
REQUEST	15		GenAccToken	1577745744145	1577745745149	OK	 
REQUEST	18		GetSubmissions	1577745745140	1577745745525	OK	 
REQUEST	6		GetSubmissions	1577745745152	1577745745525	OK	 
REQUEST	1		GetSubmissions	1577745745140	1577745745534	OK	 
REQUEST	5		GetSubmissions	1577745745144	1577745745530	OK	 
USER	accessToken	6	END	1577745744091	1577745745542
USER	accessToken	5	END	1577745744091	1577745745542
USER	accessToken	1	END	1577745744090	1577745745543
USER	accessToken	18	END	1577745744147	1577745745544
REQUEST	3		GenAccToken	1577745744139	1577745745624	OK	 
REQUEST	2		GenAccToken	1577745744147	1577745745934	OK	 
REQUEST	3		GetSubmissions	1577745745627	1577745745937	OK	 
USER	accessToken	3	END	1577745744091	1577745745939
REQUEST	17		GenAccToken	1577745744148	1577745746548	OK	 
REQUEST	10		GenAccToken	1577745744145	1577745746547	OK	 
REQUEST	11		GenAccToken	1577745744150	1577745747572	OK	 
REQUEST	9		GenAccToken	1577745744150	1577745747572	OK	 
REQUEST	20		GenAccToken	1577745744149	1577745747573	OK	 
REQUEST	13		GenAccToken	1577745744145	1577745747572	OK	 
REQUEST	11		GetSubmissions	1577745747579	1577745748030	OK	 
USER	accessToken	11	END	1577745744092	1577745748032
REQUEST	20		GetSubmissions	1577745747576	1577745748032	OK	 
USER	accessToken	20	END	1577745744148	1577745748034
REQUEST	15		GetSubmissions	1577745745152	1577745748788	OK	 
REQUEST	19		GetSubmissions	1577745745143	1577745748791	OK	 
REQUEST	4		GenAccToken	1577745744143	1577745748789	OK	 
REQUEST	14		GenAccToken	1577745744146	1577745748790	OK	 
USER	accessToken	15	END	1577745744144	1577745748792
USER	accessToken	19	END	1577745744148	1577745748795
REQUEST	7		GetSubmissions	1577745745146	1577745748796	OK	 
USER	accessToken	7	END	1577745744091	1577745748798
REQUEST	16		GetSubmissions	1577745745148	1577745748793	OK	 
USER	accessToken	16	END	1577745744145	1577745748800
REQUEST	12		GenAccToken	1577745744139	1577745748800	OK	 
REQUEST	8		GetSubmissions	1577745745141	1577745748803	OK	 
USER	accessToken	8	END	1577745744092	1577745748805
REQUEST	12		GetSubmissions	1577745748803	1577745749138	OK	 
REQUEST	14		GetSubmissions	1577745748796	1577745749138	OK	 
USER	accessToken	12	END	1577745744096	1577745749140
USER	accessToken	14	END	1577745744144	1577745749140
REQUEST	17		GetSubmissions	1577745746550	1577745749491	OK	 
USER	accessToken	17	END	1577745744147	1577745749493
REQUEST	2		GetSubmissions	1577745745937	1577745749628	OK	 
REQUEST	13		GetSubmissions	1577745747579	1577745749628	OK	 
USER	accessToken	13	END	1577745744144	1577745749630
USER	accessToken	2	END	1577745744091	1577745749632
REQUEST	4		GetSubmissions	1577745748798	1577745749635	OK	 
USER	accessToken	4	END	1577745744091	1577745749636
REQUEST	10		GetSubmissions	1577745746551	1577745749798	OK	 
USER	accessToken	10	END	1577745744092	1577745749800
REQUEST	9		GetSubmissions	1577745747577	1577745749973	OK	 
USER	accessToken	9	END	1577745744092	1577745749975
