ASSERTION	AAEDAAEBAwAAAAAAAECPQA==
ASSERTION	AAIDAAEBAwAAAAAAAECPQA==
ASSERTION	AAMAAQ5HZXRTdWJtaXNzaW9ucwMAAQEDAAAAAAAAQI9A
ASSERTION	AAECAAMFAAAAAAAAAFlA
ASSERTION	AAECAAIFAAAAAAAAAAAA
RUN	MyTestPackage.APITest	apitest	1577747444910	 	3.3.1
USER	accessToken	1	START	1577747445687	1577747445687
USER	accessToken	2	START	1577747446192	1577747446192
USER	accessToken	3	START	1577747446702	1577747446702
REQUEST	2		GenAccToken	1577747446193	1577747446678	OK	 
REQUEST	1		GenAccToken	1577747445725	1577747446678	OK	 
REQUEST	2		GetSubmissions	1577747446788	1577747447190	OK	 
REQUEST	1		GetSubmissions	1577747446788	1577747447190	OK	 
USER	accessToken	2	END	1577747446192	1577747447200
USER	accessToken	1	END	1577747445687	1577747447201
USER	accessToken	4	START	1577747447200	1577747447200
REQUEST	3		GenAccToken	1577747446703	1577747447236	OK	 
REQUEST	3		GetSubmissions	1577747447240	1577747447547	OK	 
USER	accessToken	3	END	1577747446702	1577747447551
REQUEST	4		GenAccToken	1577747447201	1577747447665	OK	 
USER	accessToken	5	START	1577747447703	1577747447703
REQUEST	4		GetSubmissions	1577747447668	1577747447973	OK	 
USER	accessToken	4	END	1577747447200	1577747447976
REQUEST	5		GenAccToken	1577747447704	1577747448153	OK	 
USER	accessToken	6	START	1577747448192	1577747448192
REQUEST	5		GetSubmissions	1577747448159	1577747448461	OK	 
USER	accessToken	5	END	1577747447703	1577747448463
REQUEST	6		GenAccToken	1577747448192	1577747448628	OK	 
USER	accessToken	7	START	1577747448691	1577747448691
REQUEST	6		GetSubmissions	1577747448631	1577747448940	OK	 
USER	accessToken	6	END	1577747448192	1577747448945
REQUEST	7		GenAccToken	1577747448692	1577747449121	OK	 
USER	accessToken	8	START	1577747449191	1577747449191
REQUEST	7		GetSubmissions	1577747449123	1577747449452	OK	 
USER	accessToken	7	END	1577747448691	1577747449454
REQUEST	8		GenAccToken	1577747449192	1577747449601	OK	 
USER	accessToken	9	START	1577747449692	1577747449692
REQUEST	8		GetSubmissions	1577747449607	1577747449931	OK	 
USER	accessToken	8	END	1577747449191	1577747449934
REQUEST	9		GenAccToken	1577747449693	1577747450075	OK	 
USER	accessToken	10	START	1577747450192	1577747450192
REQUEST	9		GetSubmissions	1577747450077	1577747450407	OK	 
USER	accessToken	9	END	1577747449692	1577747450410
REQUEST	10		GenAccToken	1577747450193	1577747450565	OK	 
USER	accessToken	11	START	1577747450693	1577747450693
REQUEST	10		GetSubmissions	1577747450568	1577747450828	OK	 
USER	accessToken	10	END	1577747450192	1577747450830
REQUEST	11		GenAccToken	1577747450694	1577747451075	OK	 
USER	accessToken	12	START	1577747451191	1577747451191
REQUEST	11		GetSubmissions	1577747451077	1577747451346	OK	 
USER	accessToken	11	END	1577747450693	1577747451349
REQUEST	12		GenAccToken	1577747451192	1577747451617	OK	 
USER	accessToken	13	START	1577747451691	1577747451691
REQUEST	12		GetSubmissions	1577747451622	1577747451894	OK	 
USER	accessToken	12	END	1577747451191	1577747451896
USER	accessToken	14	START	1577747452192	1577747452192
REQUEST	13		GenAccToken	1577747451692	1577747452197	OK	 
REQUEST	13		GetSubmissions	1577747452199	1577747452473	OK	 
USER	accessToken	13	END	1577747451691	1577747452476
REQUEST	14		GenAccToken	1577747452193	1577747452575	OK	 
USER	accessToken	15	START	1577747452693	1577747452693
REQUEST	14		GetSubmissions	1577747452577	1577747452940	OK	 
USER	accessToken	14	END	1577747452192	1577747452943
USER	accessToken	16	START	1577747453191	1577747453191
REQUEST	15		GenAccToken	1577747452694	1577747453196	OK	 
REQUEST	15		GetSubmissions	1577747453198	1577747453503	OK	 
USER	accessToken	15	END	1577747452693	1577747453505
REQUEST	16		GenAccToken	1577747453192	1577747453636	OK	 
USER	accessToken	17	START	1577747453692	1577747453692
REQUEST	16		GetSubmissions	1577747453639	1577747453942	OK	 
USER	accessToken	16	END	1577747453191	1577747453944
REQUEST	17		GenAccToken	1577747453693	1577747454163	OK	 
USER	accessToken	18	START	1577747454193	1577747454193
REQUEST	17		GetSubmissions	1577747454167	1577747454509	OK	 
USER	accessToken	17	END	1577747453692	1577747454511
REQUEST	18		GenAccToken	1577747454194	1577747454647	OK	 
USER	accessToken	19	START	1577747454692	1577747454692
REQUEST	18		GetSubmissions	1577747454650	1577747454940	OK	 
USER	accessToken	18	END	1577747454193	1577747454942
REQUEST	19		GenAccToken	1577747454693	1577747455064	OK	 
USER	accessToken	20	START	1577747455192	1577747455192
REQUEST	19		GetSubmissions	1577747455067	1577747455401	OK	 
USER	accessToken	19	END	1577747454692	1577747455403
REQUEST	20		GenAccToken	1577747455193	1577747455629	OK	 
REQUEST	20		GetSubmissions	1577747455632	1577747455963	OK	 
USER	accessToken	20	END	1577747455192	1577747455964
