ASSERTION	AAEDAAEBAwAAAAAAAECPQA==
ASSERTION	AAIDAAEBAwAAAAAAAECPQA==
ASSERTION	AAMAAQpCb29rRmxpZ2h0AwABAQMAAAAAAABAj0A=
ASSERTION	AAECAAMFAAAAAAAAAFlA
ASSERTION	AAECAAIFAAAAAAAAAAAA
RUN	MyTestPackage.TestScript1	testscript1	1577652517197	 	3.3.1
USER	TestScript1	1	START	1577652518447	1577652518447
USER	TestScript1	2	START	1577652520452	1577652520452
USER	TestScript1	3	START	1577652522451	1577652522451
USER	TestScript1	4	START	1577652523452	1577652523452
USER	TestScript1	5	START	1577652525452	1577652525452
REQUEST	5		HomePage	1577652525453	1577652525834	OK	 
REQUEST	2		HomePage	1577652520454	1577652525810	OK	 
REQUEST	4		HomePage	1577652523454	1577652525829	OK	 
REQUEST	3		HomePage	1577652522452	1577652526719	OK	 
REQUEST	1		HomePage	1577652518477	1577652526910	OK	 
USER	TestScript1	6	START	1577652527450	1577652527450
REQUEST	6		HomePage	1577652527451	1577652527719	OK	 
REQUEST	5		SearchFlight	1577652567762	1577652567956	OK	 
REQUEST	2		SearchFlight	1577652568372	1577652568513	OK	 
REQUEST	4		SearchFlight	1577652568482	1577652568614	OK	 
REQUEST	3		SearchFlight	1577652568530	1577652568665	OK	 
REQUEST	1		SearchFlight	1577652568552	1577652568689	OK	 
REQUEST	6		SearchFlight	1577652568582	1577652568714	OK	 
REQUEST	5		SelectFlight	1577652572092	1577652572259	OK	 
REQUEST	2		SelectFlight	1577652572651	1577652572788	OK	 
REQUEST	4		SelectFlight	1577652572752	1577652572933	OK	 
REQUEST	3		SelectFlight	1577652572812	1577652572944	OK	 
REQUEST	1		SelectFlight	1577652572832	1577652572962	OK	 
REQUEST	6		SelectFlight	1577652572851	1577652572979	OK	 
REQUEST	5		BookFlight	1577652605453	1577652606913	OK	 
REQUEST	2		BookFlight	1577652605945	1577652607321	OK	 
REQUEST	3		BookFlight	1577652606066	1577652607656	OK	 
REQUEST	4		BookFlight	1577652606074	1577652607977	OK	 
REQUEST	1		BookFlight	1577652606094	1577652608343	OK	 
REQUEST	6		BookFlight	1577652606102	1577652608472	OK	 
REQUEST	5		BookFlight Redirect 1	1577652606919	1577652608488	OK	 
REQUEST	2		BookFlight Redirect 1	1577652607322	1577652608503	OK	 
REQUEST	3		BookFlight Redirect 1	1577652607658	1577652608506	OK	 
REQUEST	4		BookFlight Redirect 1	1577652607978	1577652608519	OK	 
REQUEST	1		BookFlight Redirect 1	1577652608345	1577652608526	OK	 
REQUEST	6		BookFlight Redirect 1	1577652608473	1577652608606	OK	 
USER	TestScript1	5	END	1577652525452	1577652608617
USER	TestScript1	3	END	1577652522451	1577652608635
USER	TestScript1	2	END	1577652520452	1577652608637
USER	TestScript1	4	END	1577652523452	1577652608651
USER	TestScript1	1	END	1577652518447	1577652608660
USER	TestScript1	6	END	1577652527450	1577652608733
